 region                                  model                                                              sku   limit   used  available  unit
northcentralus                                  gpt-5                                      OpenAI.GlobalStandard.gpt-5    1000      0       1000 Count
northcentralus                             gpt-5-mini                                 OpenAI.GlobalStandard.gpt-5-mini    1000      0       1000 Count
northcentralus                             gpt-5-nano                                 OpenAI.GlobalStandard.gpt-5-nano    5000      0       5000 Count
northcentralus                                  gpt-5                                    OpenAI.DataZoneStandard.gpt-5     300      0        300 Count
northcentralus                             gpt-5-mini                               OpenAI.DataZoneStandard.gpt-5-mini     300      0        300 Count
northcentralus                             gpt-5-nano                               OpenAI.DataZoneStandard.gpt-5-nano    2000      0       2000 Count
northcentralus                                  gpt-5                                         OpenAI.GlobalBatch.gpt-5  200000      0     200000 Count
northcentralus                                  gpt-5                                       OpenAI.DataZoneBatch.gpt-5  200000      0     200000 Count
northcentralus                           AccountCount                                       AIServices.S0.AccountCount     100      0        100 Count
northcentralus                                   MaaS                                   AIServices.GlobalStandard.MaaS     600      0        600 Count
northcentralus                  Ministral-3B-finetune                  AIServices.GlobalStandard.Ministral-3B-finetune    1000      0       1000 Count
northcentralus                            DeepSeek-R1                            AIServices.GlobalStandard.DeepSeek-R1    1000      0       1000 Count
northcentralus                       DeepSeek-R1-0528                       AIServices.GlobalStandard.DeepSeek-R1-0528    1000      0       1000 Count
northcentralus                       DeepSeek-V3-0324                       AIServices.GlobalStandard.DeepSeek-V3-0324    1000      0       1000 Count
northcentralus                          DeepSeek-V3.1                          AIServices.GlobalStandard.DeepSeek-V3.1    1000      0       1000 Count
northcentralus Llama-4-Maverick-17B-128E-Instruct-FP8 AIServices.GlobalStandard.Llama-4-Maverick-17B-128E-Instruct-FP8     250      0        250 Count
northcentralus                 Llama-3.3-70B-Instruct                 AIServices.GlobalStandard.Llama-3.3-70B-Instruct     250      0        250 Count
northcentralus                       Cohere-Command-A                       AIServices.GlobalStandard.Cohere-Command-A     100      0        100 Count
northcentralus                            Embed-V-4-0                            AIServices.GlobalStandard.Embed-V-4-0     100      0        100 Count
northcentralus                           gpt-oss-120b                           AIServices.GlobalStandard.gpt-oss-120b    5000      0       5000 Count
northcentralus                              MAI-DS-R1                              AIServices.GlobalStandard.MAI-DS-R1    1000      0       1000 Count
northcentralus                           FLUX-1.1-pro                           AIServices.GlobalStandard.FLUX-1.1-pro      30      0         30 Count
northcentralus                           FLUX-1.1-pro                         AIServices.DataZoneStandard.FLUX-1.1-pro      30      0         30 Count
northcentralus                     FLUX.1-Kontext-pro                     AIServices.GlobalStandard.FLUX.1-Kontext-pro      30      0         30 Count
northcentralus                     FLUX.1-Kontext-pro                   AIServices.DataZoneStandard.FLUX.1-Kontext-pro      30      0         30 Count
northcentralus               mistral-document-ai-2505               AIServices.GlobalStandard.mistral-document-ai-2505      60      0         60 Count
northcentralus               mistral-document-ai-2505             AIServices.DataZoneStandard.mistral-document-ai-2505      60      0         60 Count
northcentralus                                 grok-3                                 AIServices.GlobalStandard.grok-3    1000      0       1000 Count
northcentralus                            grok-3-mini                            AIServices.GlobalStandard.grok-3-mini    1000      0       1000 Count
northcentralus                                 grok-3                               AIServices.DataZoneStandard.grok-3     300      0        300 Count
northcentralus                            grok-3-mini                          AIServices.DataZoneStandard.grok-3-mini     300      0        300 Count
northcentralus                  grok-4-fast-reasoning                  AIServices.GlobalStandard.grok-4-fast-reasoning    1000      0       1000 Count
northcentralus              grok-4-fast-non-reasoning              AIServices.GlobalStandard.grok-4-fast-non-reasoning    1000      0       1000 Count
northcentralus                  grok-4-fast-reasoning                AIServices.DataZoneStandard.grok-4-fast-reasoning     300      0        300 Count
northcentralus              grok-4-fast-non-reasoning            AIServices.DataZoneStandard.grok-4-fast-non-reasoning     300      0        300 Count
northcentralus                           AccountCount                                                     AccountCount     200      3        197 Count
       eastus2              OpenAI.ProvisionedManaged                                        OpenAI.ProvisionedManaged       0      0          0 Count
